Country_name,Gdp,Population,Year and Popuation
China,55.36%,"1,439,323,776","[('2020', '1,439,323,776'), ('2019', '1,433,783,686'), ('2018', '1,427,647,786'), ('2017', '1,421,021,791'), ('2016', '1,414,049,351'), ('2015', '1,406,847,870'), ('2010', '1,368,810,615'), ('2005', '1,330,776,380'), ('2000', '1,290,550,765'), ('1995', '1,240,920,535'), ('1990', '1,176,883,674'), ('1985', '1,075,589,361'), ('1980', '1,000,089,235'), ('1975', '926,240,885'), ('1970', '827,601,394'), ('1965', '724,218,968'), ('1960', '660,408,056'), ('1955', '612,241,554'), ('1950', '554,419,273')]"
Kenya,55.50%,"53,771,296","[('2020', '53,771,296'), ('2019', '52,573,973'), ('2018', '51,392,565'), ('2017', '50,221,142'), ('2016', '49,051,534'), ('2015', '47,878,336'), ('2010', '42,030,676'), ('2005', '36,624,895'), ('2000', '31,964,557'), ('1995', '27,768,296'), ('1990', '23,724,579'), ('1985', '19,877,083'), ('1980', '16,417,197'), ('1975', '13,575,907'), ('1970', '11,301,394'), ('1965', '9,530,173'), ('1960', '8,120,080'), ('1955', '6,987,658'), ('1950', '6,076,758')]"
Seychelles,54.49%,"98,347","[('2020', '98,347'), ('2019', '97,739'), ('2018', '97,096'), ('2017', '96,418'), ('2016', '95,710'), ('2015', '94,978'), ('2010', '91,264'), ('2005', '88,648'), ('2000', '80,996'), ('1995', '76,649'), ('1990', '70,570'), ('1985', '69,775'), ('1980', '66,244'), ('1975', '59,585'), ('1970', '52,368'), ('1965', '46,782'), ('1960', '41,603'), ('1955', '38,955'), ('1950', '36,325')]"
Mexico,54.11%,"128,932,753","[('2020', '128,932,753'), ('2019', '127,575,529'), ('2018', '126,190,788'), ('2017', '124,777,324'), ('2016', '123,333,376'), ('2015', '121,858,258'), ('2010', '114,092,963'), ('2005', '106,005,203'), ('2000', '98,899,845'), ('1995', '91,663,285'), ('1990', '83,943,132'), ('1985', '75,983,485'), ('1980', '67,761,372'), ('1975', '59,607,953'), ('1970', '51,493,565'), ('1965', '44,123,853'), ('1960', '37,771,859'), ('1955', '32,350,596'), ('1950', '27,944,669')]"
Yemen,54.51%,"29,825,964","[('2020', '29,825,964'), ('2019', '29,161,922'), ('2018', '28,498,683'), ('2017', '27,834,819'), ('2016', '27,168,208'), ('2015', '26,497,889'), ('2010', '23,154,855'), ('2005', '20,107,409'), ('2000', '17,409,072'), ('1995', '14,913,315'), ('1990', '11,709,993'), ('1985', '9,572,175'), ('1980', '7,941,898'), ('1975', '6,784,695'), ('1970', '6,193,384'), ('1965', '5,727,751'), ('1960', '5,315,355'), ('1955', '4,965,574'), ('1950', '4,661,282')]"
Guinea Bissau,54.92%,"1,968,001","[('2020', '1,968,001'), ('2019', '1,920,922'), ('2018', '1,874,303'), ('2017', '1,828,145'), ('2016', '1,782,438'), ('2015', '1,737,202'), ('2010', '1,522,599'), ('2005', '1,344,930'), ('2000', '1,201,301'), ('1995', '1,088,854'), ('1990', '975,261'), ('1985', '872,163'), ('1980', '781,677'), ('1975', '765,989'), ('1970', '704,939'), ('1965', '649,790'), ('1960', '616,136'), ('1955', '576,136'), ('1950', '535,428')]"
Niger,55.60%,"24,206,644","[('2020', '24,206,644'), ('2019', '23,310,715'), ('2018', '22,442,822'), ('2017', '21,602,382'), ('2016', '20,788,798'), ('2015', '20,001,663'), ('2010', '16,464,025'), ('2005', '13,624,467'), ('2000', '11,331,557'), ('1995', '9,490,288'), ('1990', '8,026,591'), ('1985', '6,915,997'), ('1980', '5,989,004'), ('1975', '5,184,941'), ('1970', '4,510,644'), ('1965', '3,914,117'), ('1960', '3,388,764'), ('1955', '2,955,541'), ('1950', '2,559,703')]"
Germany,56.93%,"83,783,942","[('2020', '83,783,942'), ('2019', '83,517,045'), ('2018', '83,124,418'), ('2017', '82,658,409'), ('2016', '82,193,768'), ('2015', '81,787,411'), ('2010', '80,827,002'), ('2005', '81,602,741'), ('2000', '81,400,882'), ('1995', '81,138,659'), ('1990', '79,053,984'), ('1985', '77,691,595'), ('1980', '78,283,100'), ('1975', '78,856,039'), ('1970', '78,578,385'), ('1965', '76,258,032'), ('1960', '73,414,239'), ('1955', '71,537,459'), ('1950', '69,966,243')]"
Grenada,56.12%,"112,523","[('2020', '112,523'), ('2019', '112,003'), ('2018', '111,454'), ('2017', '110,874'), ('2016', '110,261'), ('2015', '109,599'), ('2010', '106,233'), ('2005', '104,661'), ('2000', '102,833'), ('1995', '100,288'), ('1990', '96,331'), ('1985', '99,946'), ('1980', '89,032'), ('1975', '92,494'), ('1970', '94,475'), ('1965', '94,636'), ('1960', '89,932'), ('1955', '81,103'), ('1950', '76,681')]"
Kyrgyzstan,56.09%,"6,524,195","[('2020', '6,524,195'), ('2019', '6,415,850'), ('2018', '6,304,030'), ('2017', '6,189,733'), ('2016', '6,074,330'), ('2015', '5,959,121'), ('2010', '5,422,293'), ('2005', '5,075,347'), ('2000', '4,920,712'), ('1995', '4,566,096'), ('1990', '4,372,885'), ('1985', '3,993,071'), ('1980', '3,610,970'), ('1975', '3,291,078'), ('1970', '2,969,851'), ('1965', '2,569,452'), ('1960', '2,170,094'), ('1955', '1,904,062'), ('1950', '1,740,004')]"
Costa Rica,56.15%,"5,094,118","[('2020', '5,094,118'), ('2019', '5,047,561'), ('2018', '4,999,441'), ('2017', '4,949,954'), ('2016', '4,899,345'), ('2015', '4,847,804'), ('2010', '4,577,378'), ('2005', '4,285,502'), ('2000', '3,962,372'), ('1995', '3,545,534'), ('1990', '3,119,433'), ('1985', '2,736,712'), ('1980', '2,389,977'), ('1975', '2,094,188'), ('1970', '1,847,394'), ('1965', '1,592,841'), ('1960', '1,330,782'), ('1955', '1,110,087'), ('1950', '945,696')]"
Bolivia,57.11%,"11,673,021","[('2020', '11,673,021'), ('2019', '11,513,100'), ('2018', '11,353,142'), ('2017', '11,192,855'), ('2016', '11,031,814'), ('2015', '10,869,730'), ('2010', '10,048,590'), ('2005', '9,232,306'), ('2000', '8,418,264'), ('1995', '7,622,338'), ('1990', '6,864,842'), ('1985', '6,179,460'), ('1980', '5,579,935'), ('1975', '5,001,419'), ('1970', '4,484,004'), ('1965', '4,038,872'), ('1960', '3,656,955'), ('1955', '3,331,036'), ('1950', '3,081,830')]"
Malaysia,56.32%,"32,365,999","[('2020', '32,365,999'), ('2019', '31,949,777'), ('2018', '31,528,033'), ('2017', '31,104,646'), ('2016', '30,684,654'), ('2015', '30,270,962'), ('2010', '28,208,035'), ('2005', '25,690,611'), ('2000', '23,194,257'), ('1995', '20,487,607'), ('1990', '18,029,824'), ('1985', '15,598,927'), ('1980', '13,798,085'), ('1975', '12,162,187'), ('1970', '10,804,131'), ('1965', '9,526,558'), ('1960', '8,156,347'), ('1955', '7,038,913'), ('1950', '6,109,915')]"
Vietnam,57.36%,"97,338,579","[('2020', '97,338,579'), ('2019', '96,462,106'), ('2018', '95,545,962'), ('2017', '94,600,648'), ('2016', '93,640,422'), ('2015', '92,677,076'), ('2010', '87,967,651'), ('2005', '83,832,661'), ('2000', '79,910,412'), ('1995', '74,910,461'), ('1990', '67,988,862'), ('1985', '60,896,721'), ('1980', '54,281,846'), ('1975', '48,718,189'), ('1970', '43,404,793'), ('1965', '37,858,951'), ('1960', '32,670,039'), ('1955', '28,147,443'), ('1950', '24,809,902')]"
Israel,58.96%,"8,655,535","[('2020', '8,655,535'), ('2019', '8,519,377'), ('2018', '8,381,516'), ('2017', '8,243,848'), ('2016', '8,108,985'), ('2015', '7,978,490'), ('2010', '7,346,446'), ('2005', '6,529,479'), ('2000', '5,945,950'), ('1995', '5,271,367'), ('1990', '4,448,353'), ('1985', '4,035,068'), ('1980', '3,700,919'), ('1975', '3,296,935'), ('1970', '2,813,749'), ('1965', '2,490,317'), ('1960', '2,060,480'), ('1955', '1,691,878'), ('1950', '1,257,971')]"
South Africa,57.81%,"59,308,690","[('2020', '59,308,690'), ('2019', '58,558,270'), ('2018', '57,792,518'), ('2017', '57,009,756'), ('2016', '56,207,646'), ('2015', '55,386,367'), ('2010', '51,216,964'), ('2005', '47,880,601'), ('2000', '44,967,708'), ('1995', '41,435,758'), ('1990', '36,800,509'), ('1985', '32,678,874'), ('1980', '28,556,769'), ('1975', '25,195,187'), ('1970', '22,069,776'), ('1965', '19,384,841'), ('1960', '17,099,840'), ('1955', '15,206,502'), ('1950', '13,628,428')]"
Malawi,59.01%,"19,129,952","[('2020', '19,129,952'), ('2019', '18,628,747'), ('2018', '18,143,217'), ('2017', '17,670,196'), ('2016', '17,205,261'), ('2015', '16,745,303'), ('2010', '14,539,612'), ('2005', '12,625,952'), ('2000', '11,148,758'), ('1995', '9,844,415'), ('1990', '9,404,500'), ('1985', '7,268,267'), ('1980', '6,250,440'), ('1975', '5,384,795'), ('1970', '4,703,782'), ('1965', '4,134,460'), ('1960', '3,659,984'), ('1955', '3,270,548'), ('1950', '2,953,871')]"
Puerto Rico,57.70%,"2,860,853","[('2020', '2,860,853'), ('2019', '2,933,408'), ('2018', '3,039,596'), ('2017', '3,163,667'), ('2016', '3,283,125'), ('2015', '3,381,518'), ('2010', '3,579,841'), ('2005', '3,631,889'), ('2000', '3,668,960'), ('1995', '3,567,696'), ('1990', '3,403,154'), ('1985', '3,263,179'), ('1980', '3,090,691'), ('1975', '2,844,927'), ('1970', '2,631,707'), ('1965', '2,507,537'), ('1960', '2,294,982'), ('1955', '2,195,516'), ('1950', '2,218,000')]"
Saint Kitts And Nevis,59.49%,"53,199","[('2020', '53,199'), ('2019', '52,823'), ('2018', '52,441'), ('2017', '52,045'), ('2016', '51,625'), ('2015', '51,203'), ('2010', '49,016'), ('2005', '46,857'), ('2000', '44,074'), ('1995', '42,074'), ('1990', '40,259'), ('1985', '41,866'), ('1980', '43,205'), ('1975', '44,272'), ('1970', '44,883'), ('1965', '49,214'), ('1960', '51,195'), ('1955', '48,492'), ('1950', '46,049')]"
Oman,61.29%,"5,106,626","[('2020', '5,106,626'), ('2019', '4,974,986'), ('2018', '4,829,473'), ('2017', '4,665,928'), ('2016', '4,479,219'), ('2015', '4,267,348'), ('2010', '3,041,434'), ('2005', '2,511,251'), ('2000', '2,267,973'), ('1995', '2,204,277'), ('1990', '1,812,161'), ('1985', '1,498,418'), ('1980', '1,154,377'), ('1975', '882,047'), ('1970', '723,851'), ('1965', '625,009'), ('1960', '551,740'), ('1955', '495,818'), ('1950', '456,419')]"
Maldives,61.43%,"540,544","[('2020', '540,544'), ('2019', '530,953'), ('2018', '515,696'), ('2017', '496,402'), ('2016', '475,512'), ('2015', '454,915'), ('2010', '365,734'), ('2005', '319,608'), ('2000', '279,398'), ('1995', '254,139'), ('1990', '223,158'), ('1985', '189,537'), ('1980', '158,272'), ('1975', '136,417'), ('1970', '115,691'), ('1965', '102,718'), ('1960', '89,863'), ('1955', '79,703'), ('1950', '73,712')]"
Bahamas,60.49%,"393,244","[('2020', '393,244'), ('2019', '389,482'), ('2018', '385,637'), ('2017', '381,755'), ('2016', '377,930'), ('2015', '374,206'), ('2010', '354,942'), ('2005', '324,859'), ('2000', '298,051'), ('1995', '280,184'), ('1990', '256,223'), ('1985', '234,578'), ('1980', '210,591'), ('1975', '188,896'), ('1970', '169,377'), ('1965', '140,059'), ('1960', '109,534'), ('1955', '88,631'), ('1950', '79,093')]"
Finland,59.88%,"5,540,720","[('2020', '5,540,720'), ('2019', '5,532,156'), ('2018', '5,522,576'), ('2017', '5,511,371'), ('2016', '5,497,713'), ('2015', '5,481,122'), ('2010', '5,365,782'), ('2005', '5,258,927'), ('2000', '5,187,954'), ('1995', '5,119,005'), ('1990', '4,996,222'), ('1985', '4,911,220'), ('1980', '4,788,243'), ('1975', '4,718,749'), ('1970', '4,612,366'), ('1965', '4,568,598'), ('1960', '4,434,590'), ('1955', '4,238,275'), ('1950', '4,008,294')]"
Senegal,62.00%,"16,743,927","[('2020', '16,743,927'), ('2019', '16,296,364'), ('2018', '15,854,323'), ('2017', '15,419,355'), ('2016', '14,993,519'), ('2015', '14,578,459'), ('2010', '12,678,148'), ('2005', '11,090,116'), ('2000', '9,797,734'), ('1995', '8,690,164'), ('1990', '7,526,307'), ('1985', '6,471,327'), ('1980', '5,583,165'), ('1975', '4,929,846'), ('1970', '4,257,505'), ('1965', '3,682,876'), ('1960', '3,206,749'), ('1955', '2,808,225'), ('1950', '2,486,635')]"
Ireland,62.42%,"4,937,786","[('2020', '4,937,786'), ('2019', '4,882,495'), ('2018', '4,818,690'), ('2017', '4,753,279'), ('2016', '4,695,779'), ('2015', '4,652,425'), ('2010', '4,554,321'), ('2005', '4,141,223'), ('2000', '3,783,103'), ('1995', '3,592,186'), ('1990', '3,510,885'), ('1985', '3,510,979'), ('1980', '3,384,756'), ('1975', '3,137,176'), ('1970', '2,908,421'), ('1965', '2,823,650'), ('1960', '2,791,397'), ('1955', '2,873,415'), ('1950', '2,912,680')]"
Guyana,57.22%,"786,552","[('2020', '786,552'), ('2019', '782,766'), ('2018', '779,006'), ('2017', '775,222'), ('2016', '771,368'), ('2015', '767,432'), ('2010', '749,436'), ('2005', '746,163'), ('2000', '746,715'), ('1995', '761,291'), ('1990', '743,309'), ('1985', '770,435'), ('1980', '780,153'), ('1975', '745,841'), ('1970', '704,934'), ('1965', '651,868'), ('1960', '571,819'), ('1955', '482,555'), ('1950', '406,559')]"
Ethiopia,57.43%,"114,963,588","[('2020', '114,963,588'), ('2019', '112,078,730'), ('2018', '109,224,414'), ('2017', '106,399,924'), ('2016', '103,603,462'), ('2015', '100,835,458'), ('2010', '87,639,964'), ('2005', '76,346,311'), ('2000', '66,224,804'), ('1995', '57,047,908'), ('1990', '47,887,865'), ('1985', '40,652,141'), ('1980', '35,141,712'), ('1975', '32,566,854'), ('1970', '28,415,077'), ('1965', '25,013,626'), ('1960', '22,151,278'), ('1955', '19,947,292'), ('1950', '18,128,034')]"
Gabon,58.48%,"2,225,734","[('2020', '2,225,734'), ('2019', '2,172,579'), ('2018', '2,119,275'), ('2017', '2,064,823'), ('2016', '2,007,873'), ('2015', '1,947,686'), ('2010', '1,624,140'), ('2005', '1,390,549'), ('2000', '1,228,360'), ('1995', '1,084,946'), ('1990', '949,488'), ('1985', '827,108'), ('1980', '726,328'), ('1975', '647,536'), ('1970', '589,314'), ('1965', '533,361'), ('1960', '500,928'), ('1955', '484,313'), ('1950', '473,298')]"
Nauru,60.39%,"10,824","[('2020', '10,824'), ('2019', '10,756'), ('2018', '10,670'), ('2017', '10,573'), ('2016', '10,475'), ('2015', '10,383'), ('2010', '10,005'), ('2005', '9,849'), ('2000', '10,337'), ('1995', '10,628'), ('1990', '9,505'), ('1985', '8,501'), ('1980', '7,741'), ('1975', '7,175'), ('1970', '6,552'), ('1965', '5,856'), ('1960', '4,375'), ('1955', '3,819'), ('1950', '3,424')]"
Albania,65.13%,"2,877,797","[('2020', '2,877,797'), ('2019', '2,880,917'), ('2018', '2,882,740'), ('2017', '2,884,169'), ('2016', '2,886,438'), ('2015', '2,890,513'), ('2010', '2,948,023'), ('2005', '3,086,810'), ('2000', '3,129,243'), ('1995', '3,112,936'), ('1990', '3,286,073'), ('1985', '2,969,672'), ('1980', '2,682,690'), ('1975', '2,411,732'), ('1970', '2,150,707'), ('1965', '1,896,171'), ('1960', '1,636,090'), ('1955', '1,419,994'), ('1950', '1,263,174')]"
Ghana,61.99%,"31,072,940","[('2020', '31,072,940'), ('2019', '30,417,856'), ('2018', '29,767,102'), ('2017', '29,121,465'), ('2016', '28,481,945'), ('2015', '27,849,205'), ('2010', '24,779,619'), ('2005', '21,814,642'), ('2000', '19,278,856'), ('1995', '17,014,057'), ('1990', '14,773,277'), ('1985', '12,783,613'), ('1980', '11,056,116'), ('1975', '9,985,946'), ('1970', '8,735,495'), ('1965', '7,739,473'), ('1960', '6,635,230'), ('1955', '5,730,594'), ('1950', '5,036,146')]"
Hungary,66.62%,"9,660,351","[('2020', '9,660,351'), ('2019', '9,684,679'), ('2018', '9,707,499'), ('2017', '9,729,823'), ('2016', '9,752,975'), ('2015', '9,777,923'), ('2010', '9,927,370'), ('2005', '10,085,937'), ('2000', '10,220,507'), ('1995', '10,349,302'), ('1990', '10,377,137'), ('1985', '10,566,323'), ('1980', '10,754,286'), ('1975', '10,526,780'), ('1970', '10,366,105'), ('1965', '10,169,799'), ('1960', '10,000,994'), ('1955', '9,828,494'), ('1950', '9,337,723')]"
Ukraine,62.03%,"43,733,762","[('2020', '43,733,762'), ('2019', '43,993,638'), ('2018', '44,246,156'), ('2017', '44,487,709'), ('2016', '44,713,702'), ('2015', '44,921,639'), ('2010', '45,792,090'), ('2005', '46,890,772'), ('2000', '48,838,065'), ('1995', '50,903,785'), ('1990', '51,463,105'), ('1985', '50,919,275'), ('1980', '49,965,874'), ('1975', '48,755,665'), ('1970', '47,088,857'), ('1965', '45,264,548'), ('1960', '42,664,652'), ('1955', '40,019,491'), ('1950', '37,297,648')]"
Djibouti,62.99%,"988,000","[('2020', '988,000'), ('2019', '973,560'), ('2018', '958,923'), ('2017', '944,099'), ('2016', '929,112'), ('2015', '913,993'), ('2010', '840,198'), ('2005', '783,254'), ('2000', '717,584'), ('1995', '630,388'), ('1990', '590,398'), ('1985', '425,613'), ('1980', '358,960'), ('1975', '224,183'), ('1970', '159,659'), ('1965', '114,963'), ('1960', '83,636'), ('1955', '69,589'), ('1950', '62,001')]"
Mauritius,67.50%,"1,271,768","[('2020', '1,271,768'), ('2019', '1,269,668'), ('2018', '1,267,185'), ('2017', '1,264,499'), ('2016', '1,261,865'), ('2015', '1,259,456'), ('2010', '1,247,955'), ('2005', '1,222,003'), ('2000', '1,185,145'), ('1995', '1,128,673'), ('1990', '1,055,868'), ('1985', '1,015,762'), ('1980', '966,031'), ('1975', '892,211'), ('1970', '826,441'), ('1965', '753,285'), ('1960', '660,023'), ('1955', '570,648'), ('1950', '493,255')]"
Burundi,63.54%,"11,890,784","[('2020', '11,890,784'), ('2019', '11,530,580'), ('2018', '11,175,374'), ('2017', '10,827,019'), ('2016', '10,487,995'), ('2015', '10,160,030'), ('2010', '8,675,602'), ('2005', '7,364,862'), ('2000', '6,378,871'), ('1995', '5,987,043'), ('1990', '5,438,957'), ('1985', '4,750,837'), ('1980', '4,157,298'), ('1975', '3,700,880'), ('1970', '3,479,074'), ('1965', '3,094,379'), ('1960', '2,797,932'), ('1955', '2,537,157'), ('1950', '2,308,920')]"
Laos,64.13%,"7,275,560","[('2020', '7,275,560'), ('2019', '7,169,455'), ('2018', '7,061,507'), ('2017', '6,953,035'), ('2016', '6,845,846'), ('2015', '6,741,164'), ('2010', '6,249,165'), ('2005', '5,751,676'), ('2000', '5,323,700'), ('1995', '4,846,483'), ('1990', '4,258,472'), ('1985', '3,687,898'), ('1980', '3,258,144'), ('1975', '3,051,577'), ('1970', '2,688,428'), ('1965', '2,382,594'), ('1960', '2,120,898'), ('1955', '1,890,854'), ('1950', '1,682,915')]"
Slovenia,65.44%,"2,078,938","[('2020', '2,078,938'), ('2019', '2,078,654'), ('2018', '2,077,837'), ('2017', '2,076,394'), ('2016', '2,074,210'), ('2015', '2,071,199'), ('2010', '2,043,337'), ('2005', '1,994,976'), ('2000', '1,987,717'), ('1995', '1,991,131'), ('1990', '2,006,405'), ('1985', '1,945,130'), ('1980', '1,835,831'), ('1975', '1,742,623'), ('1970', '1,669,581'), ('1965', '1,629,433'), ('1960', '1,586,637'), ('1955', '1,527,205'), ('1950', '1,473,093')]"
Morocco,65.11%,"36,910,560","[('2020', '36,910,560'), ('2019', '36,471,769'), ('2018', '36,029,093'), ('2017', '35,581,255'), ('2016', '35,126,283'), ('2015', '34,663,603'), ('2010', '32,343,389'), ('2005', '30,455,561'), ('2000', '28,793,679'), ('1995', '26,994,250'), ('1990', '24,807,462'), ('1985', '22,499,110'), ('1980', '19,990,012'), ('1975', '17,796,164'), ('1970', '16,004,731'), ('1965', '14,230,163'), ('1960', '12,328,532'), ('1955', '10,502,666'), ('1950', '8,985,989')]"
India,69.04%,"1,380,004,385","[('2020', '1,380,004,385'), ('2019', '1,366,417,754'), ('2018', '1,352,642,280'), ('2017', '1,338,676,785'), ('2016', '1,324,517,249'), ('2015', '1,310,152,403'), ('2010', '1,234,281,170'), ('2005', '1,147,609,927'), ('2000', '1,056,575,549'), ('1995', '963,922,588'), ('1990', '873,277,798'), ('1985', '784,360,008'), ('1980', '698,952,844'), ('1975', '623,102,897'), ('1970', '555,189,792'), ('1965', '499,123,324'), ('1960', '450,547,679'), ('1955', '409,880,595'), ('1950', '376,325,200')]"
El Salvador,68.10%,"6,486,205","[('2020', '6,486,205'), ('2019', '6,453,553'), ('2018', '6,420,746'), ('2017', '6,388,126'), ('2016', '6,356,143'), ('2015', '6,325,124'), ('2010', '6,183,875'), ('2005', '6,052,123'), ('2000', '5,887,936'), ('1995', '5,628,600'), ('1990', '5,270,079'), ('1985', '4,936,807'), ('1980', '4,591,134'), ('1975', '4,154,692'), ('1970', '3,673,068'), ('1965', '3,201,313'), ('1960', '2,766,324'), ('1955', '2,432,880'), ('1950', '2,199,898')]"
Togo,70.39%,"8,278,724","[('2020', '8,278,724'), ('2019', '8,082,366'), ('2018', '7,889,093'), ('2017', '7,698,474'), ('2016', '7,509,951'), ('2015', '7,323,158'), ('2010', '6,421,679'), ('2005', '5,611,640'), ('2000', '4,924,402'), ('1995', '4,226,291'), ('1990', '3,774,312'), ('1985', '3,252,994'), ('1980', '2,720,839'), ('1975', '2,410,446'), ('1970', '2,115,522'), ('1965', '1,708,630'), ('1960', '1,580,513'), ('1955', '1,473,839'), ('1950', '1,395,457')]"
Croatia,70.73%,"4,105,267","[('2020', '4,105,267'), ('2019', '4,130,304'), ('2018', '4,156,405'), ('2017', '4,182,857'), ('2016', '4,208,602'), ('2015', '4,232,874'), ('2010', '4,328,165'), ('2005', '4,378,058'), ('2000', '4,428,075'), ('1995', '4,616,766'), ('1990', '4,776,374'), ('1985', '4,716,117'), ('1980', '4,598,130'), ('1975', '4,500,867'), ('1970', '4,423,073'), ('1965', '4,328,923'), ('1960', '4,192,635'), ('1955', '4,030,415'), ('1950', '3,850,297')]"
Montenegro,70.58%,"628,066","[('2020', '628,066'), ('2019', '627,987'), ('2018', '627,809'), ('2017', '627,563'), ('2016', '627,264'), ('2015', '626,956'), ('2010', '624,275'), ('2005', '616,391'), ('2000', '613,559'), ('1995', '620,418'), ('1990', '615,002'), ('1985', '614,016'), ('1980', '580,754'), ('1975', '554,262'), ('1970', '519,696'), ('1965', '533,814'), ('1960', '487,413'), ('1955', '443,795'), ('1950', '394,739')]"
Austria,71.17%,"9,006,398","[('2020', '9,006,398'), ('2019', '8,955,102'), ('2018', '8,891,388'), ('2017', '8,819,901'), ('2016', '8,747,301'), ('2015', '8,678,660'), ('2010', '8,409,949'), ('2005', '8,253,650'), ('2000', '8,069,276'), ('1995', '7,990,121'), ('1990', '7,723,949'), ('1985', '7,614,868'), ('1980', '7,609,752'), ('1975', '7,637,689'), ('1970', '7,516,239'), ('1965', '7,305,158'), ('1960', '7,070,766'), ('1955', '6,953,406'), ('1950', '6,936,439')]"
Uruguay,71.34%,"3,473,730","[('2020', '3,473,730'), ('2019', '3,461,734'), ('2018', '3,449,285'), ('2017', '3,436,641'), ('2016', '3,424,129'), ('2015', '3,412,009'), ('2010', '3,359,275'), ('2005', '3,321,803'), ('2000', '3,319,736'), ('1995', '3,224,281'), ('1990', '3,109,601'), ('1985', '3,011,519'), ('1980', '2,915,389'), ('1975', '2,830,176'), ('1970', '2,809,793'), ('1965', '2,694,536'), ('1960', '2,538,643'), ('1955', '2,372,559'), ('1950', '2,238,507')]"
Saint Vincent And The Grenadines,71.38%,"110,940","[('2020', '110,940'), ('2019', '110,589'), ('2018', '110,211'), ('2017', '109,827'), ('2016', '109,459'), ('2015', '109,148'), ('2010', '108,255'), ('2005', '108,614'), ('2000', '107,784'), ('1995', '108,035'), ('1990', '107,484'), ('1985', '104,506'), ('1980', '100,566'), ('1975', '95,662'), ('1970', '90,509'), ('1965', '86,011'), ('1960', '80,977'), ('1955', '73,554'), ('1950', '66,998')]"
Saint Lucia,71.62%,"183,627","[('2020', '183,627'), ('2019', '182,790'), ('2018', '181,889'), ('2017', '180,954'), ('2016', '180,024'), ('2015', '179,126'), ('2010', '174,085'), ('2005', '163,417'), ('2000', '156,729'), ('1995', '146,870'), ('1990', '138,020'), ('1985', '126,244'), ('1980', '117,822'), ('1975', '109,627'), ('1970', '104,015'), ('1965', '96,134'), ('1960', '89,697'), ('1955', '86,477'), ('1950', '82,784')]"
Pakistan,77.00%,"220,892,340","[('2020', '220,892,340'), ('2019', '216,565,318'), ('2018', '212,228,286'), ('2017', '207,906,209'), ('2016', '203,631,353'), ('2015', '199,426,964'), ('2010', '179,424,641'), ('2005', '160,304,008'), ('2000', '142,343,578'), ('1995', '123,776,839'), ('1990', '107,647,921'), ('1985', '92,191,510'), ('1980', '78,054,343'), ('1975', '66,816,877'), ('1970', '58,142,060'), ('1965', '50,917,975'), ('1960', '44,988,690'), ('1955', '40,488,030'), ('1950', '37,542,376')]"
Dominica,79.84%,"71,986","[('2020', '71,986'), ('2019', '71,808'), ('2018', '71,625'), ('2017', '71,458'), ('2016', '71,307'), ('2015', '71,183'), ('2010', '70,878'), ('2005', '70,589'), ('2000', '69,650'), ('1995', '71,098'), ('1990', '70,419'), ('1985', '73,201'), ('1980', '75,314'), ('1975', '72,094'), ('1970', '71,073'), ('1965', '65,038'), ('1960', '60,011'), ('1955', '54,560'), ('1950', '51,100')]"
Suriname,72.05%,"586,632","[('2020', '586,632'), ('2019', '581,372'), ('2018', '575,990'), ('2017', '570,496'), ('2016', '564,888'), ('2015', '559,143'), ('2010', '529,131'), ('2005', '499,464'), ('2000', '470,949'), ('1995', '441,851'), ('1990', '405,168'), ('1985', '368,638'), ('1980', '359,519'), ('1975', '359,226'), ('1970', '367,931'), ('1965', '328,936'), ('1960', '287,871'), ('1955', '249,000'), ('1950', '215,002')]"
Sierra Leone,72.37%,"7,976,983","[('2020', '7,976,983'), ('2019', '7,813,215'), ('2018', '7,650,150'), ('2017', '7,488,423'), ('2016', '7,328,834'), ('2015', '7,171,914'), ('2010', '6,415,634'), ('2005', '5,645,624'), ('2000', '4,584,571'), ('1995', '4,303,957'), ('1990', '4,319,762'), ('1985', '3,805,311'), ('1980', '3,388,495'), ('1975', '3,037,154'), ('1970', '2,744,891'), ('1965', '2,508,219'), ('1960', '2,317,636'), ('1955', '2,165,815'), ('1950', '2,041,203')]"
Sao Tome And Principe,74.10%,"219,159","[('2020', '219,159'), ('2019', '215,056'), ('2018', '211,028'), ('2017', '207,089'), ('2016', '203,227'), ('2015', '199,432'), ('2010', '180,371'), ('2005', '157,472'), ('2000', '142,262'), ('1995', '131,678'), ('1990', '119,209'), ('1985', '104,924'), ('1980', '95,794'), ('1975', '83,138'), ('1970', '74,564'), ('1965', '64,892'), ('1960', '64,302'), ('1955', '58,806'), ('1950', '60,002')]"
Argentina,75.90%,"45,195,774","[('2020', '45,195,774'), ('2019', '44,780,677'), ('2018', '44,361,150'), ('2017', '43,937,140'), ('2016', '43,508,460'), ('2015', '43,075,416'), ('2010', '40,895,752'), ('2005', '38,892,931'), ('2000', '36,870,787'), ('1995', '34,828,170'), ('1990', '32,618,651'), ('1985', '30,216,279'), ('1980', '27,896,528'), ('1975', '25,865,776'), ('1970', '23,880,561'), ('1965', '22,159,650'), ('1960', '20,481,779'), ('1955', '18,789,418'), ('1950', '17,037,912')]"
